,Team,MP,Wins ,Draws,Losses,Goals for,Goals againsts,Goal difference,Points,season,
,Manchester United,38,28,5,5,86,43,43,89,2012-2013,
,Manchester City,38,23,9,6,66,34,32,78,2012-2013,
,Chelsea,38,22,9,7,75,39,36,75,2012-2013,
,Arsenal,38,21,10,7,72,37,35,73,2012-2013,
,Tottenham Hotspur,38,21,9,8,66,46,20,72,2012-2013,
,Everton,38,16,15,7,55,40,15,63,2012-2013,
,Liverpool,38,16,13,9,71,43,28,61,2012-2013,
,West Bromwich Albion,38,14,7,17,53,57,-4,49,2012-2013,
,Swansea City,38,11,13,14,47,51,-4,46,2012-2013,
,West Ham United,38,12,10,16,45,53,-8,46,2012-2013,
,Norwich City,38,10,14,14,41,58,-17,44,2012-2013,
,Fulham,38,11,10,17,50,60,-10,43,2012-2013,
,Stoke City,38,9,15,14,34,45,-11,42,2012-2013,
,Southampton,38,9,14,15,49,60,-11,41,2012-2013,
,Aston Villa,38,10,11,17,47,69,-22,41,2012-2013,
,Newcastle United,38,11,8,19,45,68,-23,41,2012-2013,
,Sunderland,38,9,12,17,41,54,-13,39,2012-2013,
,Wigan Athletic,38,9,9,20,47,73,-26,36,2012-2013,
,Reading,38,6,10,22,43,73,-30,28,2012-2013,
,Queens Park Rangers,38,4,13,21,30,60,-30,25,2012-2013,
,Manchester United,38,27,6,5,80,22,58,87,2007-2008,
,Chelsea,38,25,10,3,65,26,39,85,2007-2008,
,Arsenal,38,24,11,3,74,31,43,83,2007-2008,
,Liverpool,38,21,13,4,67,28,39,76,2007-2008,
,Everton,38,19,8,11,55,33,22,65,2007-2008,
,Aston Villa,38,16,12,10,71,51,20,60,2007-2008,
,Blackburn Rovers,38,15,13,10,50,48,2,58,2007-2008,
,Portsmouth,38,16,9,13,48,40,8,57,2007-2008,
,Manchester City,38,15,10,13,45,53,-8,55,2007-2008,
,West Ham United,38,13,10,15,42,50,-8,49,2007-2008,
,Tottenham Hotspur,38,11,13,14,66,61,5,46,2007-2008,
,Newcastle United,38,11,10,17,45,65,-20,43,2007-2008,
,Middlesbrough,38,10,12,16,43,53,-10,42,2007-2008,
,Wigan Athletic,38,10,10,18,34,51,-17,40,2007-2008,
,Sunderland,38,11,6,21,36,59,-23,39,2007-2008,
,Bolton Wanderers,38,9,10,19,36,54,-18,37,2007-2008,
,Fulham,38,8,12,18,38,60,-22,36,2007-2008,
,Reading,38,10,6,22,41,66,-25,36,2007-2008,
,Birmingham City,38,8,11,19,46,62,-16,35,2007-2008,
,Derby County,38,1,8,29,20,89,-69,11,2007-2008,
,Manchester United,38,28,6,4,68,24,44,90,2008-2009,
,Liverpool,38,25,11,2,77,27,50,86,2008-2009,
